text,label
"Hey, let's meet at 5 PM near the cafe.","safe"
"Your bank account has a pending parcel charge of Rs 50. Pay now or account suspend.","scam"
"URGENT: SBI KYC suspended. Share OTP immediately or face legal action.","scam"
"Can you send me the presentation file when you have a moment?","safe"
"Please share your verification code for the food delivery.","safe"
"Congratulations! You won a reward of ₹10,000. Click here to claim.","scam"
"I am reaching home in 10 minutes.","safe"
"Dear customer, your electricity will be disconnected tonight. Call this number immediately.","scam"
"Happy Birthday! Hope you have a wonderful day ahead.","safe"
"Last warning: your ATM card is blocked. Send OTP to unblock.","scam"
"Did you watch the match yesterday? It was amazing!","safe"
"We are coming to your location with police complaint if you don't pay the penalty.","scam"
"sir share the otp to process your refund","scam"
"account suspend hone wala hai, update kyc immediately","scam"
"your parcel is held at customs. pay delivery fee on link","scam"
"Hi mom, I changed my number. Can you send me some money on this link?","scam"
"Meeting is scheduled for 10 AM tomorrow.","safe"
"Are you available for a quick call?","safe"
"Please find the invoice attached for your purchase.","safe"
"Thanks for your payment of Rs 500 for the broadband bill.","safe"
"You have been selected for a part time work from home job. Earn Rs 5000 daily. Msg on whatsapp.","scam"
"Dear user, Jio 5g upgrade offer. Click link to upgrade sim or service will stop.","scam"
"Your HDFC netbanking is blocked due to unusual activity. Update pancard now on this link.","scam"
"Bhai kahan hai tu? Kab tak aayega?","safe"
"Mummy called, she wants you to bring milk on the way back.","safe"
"Pls find the quarterly report attached for your reference.","safe"
"Your Amazon order #49302 is out for delivery. OTP for delivery is 1492.","safe"
"Dear customer, your ICICI credit card points expiring today. Redeem cash here: http://bit.ly/fake.","scam"
"Win an iPhone 14 Pro Max! Just pay Rs 99 delivery charge and claim your prize.","scam"
"Hello sir, I have deposited 50000 in your account by mistake. Pls return urgent.","scam"
"I'll call you back in 5 mins, in a meeting.","safe"
"Did we finalize the dinner plan for tonight?","safe"
"Your Netflix subscription has expired. Update payment details immediately to avoid suspension.","scam"
"Important notice: Your income tax refund of Rs 15,400 has been approved. Claim here.","scam"
"Good morning! Have a great week ahead.","safe"
"Can you please check the PR and approve it today?","safe"
"URGENT: RBI has frozen your account. Verify identity within 2 hours.","scam"
"Congratulations, your loan of Rs 5,00,000 is pre-approved without documents. Download app.","scam"
"Please don't forget to pay the rent before the 5th.","safe"
"Let's catch up over coffee this weekend.","safe"
"Your mobile number is chosen for a lucky draw of 1 Crore! Share bank details to receive.","scam"
"Sir, this is from police station. Your son is arrested. Send Rs 50000 for bail immediately.","scam"
"Hey, what's the WiFi password here?","safe"
"I have sent the location on WhatsApp, check it.","safe"
"Dear SBI Customer, your YONO app will be blocked today. Click link to update Aadhaar.","scam"
"Free 3 months recharge for all Jio users! Click the link to claim your free recharge now.","scam"
"Flight tickets sorted! PNR is XYZ123.","safe"
"We received your application for the developer role, HR will reach out to you.","safe"
"Amazon: Your account is locked due to multiple failed login attempts. Verify here.","scam"
"Claim your free Diwali gift box from Amazon! Share this with 5 groups to confirm.","scam"
"Mera net nahi chal raha, tu apni hotspot on kar de.","safe"
"Kal chutti hai kya office ki?","safe"
"Earn Rs 10,000 to 15,000 per day by just liking YouTube videos. Join our Telegram group.","scam"
"KBC Lottery Winner! Aapne jita hai 25 Lakh. Contact this whatsapp number.","scam"
"Bhai paise bhej de, kal main wapas de dunga.","safe"
"Your package delivery has failed due to unpaid customs fee of Rs 40. Pay via this link.","scam"
"Can we postpone the meeting to 3 PM?","safe"
"Airtel: Your e-KYC is pending, 4G service will stop in 24 hours. Call 98XXXXXXX immediately.","scam"
"Dad, this is my new number, my old phone is broken. Send me Rs 2000 for emergency.","scam"
"Got the tickets for the movie. Show starts at 8 PM.","safe"
"Reminder: Credit card bill generated. Outstanding Rs 4500. Pay by 15th.","safe"
"You got a 5 star rating from your last trip passenger. Keep it up!","safe"
"Your fastag wallet balance is low. Recharge now to avoid penalty at toll plaza.","scam"
"Dear candidate, congratulations you are selected for Data Entry job. Pay registration fee Rs 999.","scam"
"Let me know when you reach safely.","safe"
"Happy Anniversary! Wishing you both a lifetime of happiness.","safe"
"Urgent: PAN card linking with Aadhar is incomplete. Fine of Rs 10,000 if not done today.","scam"
"Sir, your life insurance policy is lapsing. Pay premium immediately on this link.","scam"
"Can you pick up kids from school today?","safe"
"Pls send the code for the wifi.","safe"
"Dear user, your phone is hacked! Install this antivirus app to clean it.","scam"
"Get 90% off on all branded shoes! Sale ends today. Buy now.","scam"
"I'll be late by 15 mins due to traffic.","safe"
"Are we still on for the trip next month?","safe"
"Income tax dept: You have a pending refund of Rs. 4500. Provide details to process.","scam"
"Congratulations! Your profile matches our premium matrimonial service. Register now.","scam"
"Let's play pubg tonight around 9.","safe"
